,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
85,Inverell,0,AU,1601608433,26,-29.78,151.12,25.56,1.79
86,Flinders,0,AU,1601608255,41,-34.58,150.86,25.0,1.34
87,Inuvik,75,CA,1601608434,81,68.35,-133.72,6.0,2.1
88,Bengkulu,99,ID,1601608035,88,-3.8,102.27,25.63,5.34
89,Rørvik,0,NO,1601608434,72,64.86,11.24,12.94,10.93
90,Nuuk,100,GL,1601608435,56,64.18,-51.72,7.0,5.7
91,Sarankhola,99,BD,1601608435,83,22.31,89.79,29.07,2.79
92,Mahébourg,20,MU,1601608209,93,-20.41,57.7,18.0,3.6
93,Sinazongwe,0,ZM,1601608435,55,-17.26,27.46,23.78,2.29
94,Gamba,98,GA,1601608280,80,-2.65,10.0,24.08,1.89
95,Kiryat Gat,40,IL,1601608266,78,31.61,34.76,23.33,1.0
96,Arrondissement de Bar-le-Duc,100,FR,1601608436,93,48.75,5.17,10.0,4.6
97,Cabo San Lucas,5,MX,1601607967,78,22.89,-109.91,31.0,5.1
98,Upernavik,0,GL,1601608204,91,72.79,-56.15,-5.58,7.84
99,Ginir,69,ET,1601608436,86,7.13,40.7,14.72,0.31
100,Khatanga,99,RU,1601608202,95,71.97,102.5,0.48,6.29
101,Shuangyang,20,CN,1601608437,48,43.52,125.67,16.0,7.0
102,Lorengau,100,PG,1601608237,80,-2.02,147.27,27.34,2.85
103,Vao,7,NC,1601608225,70,-22.67,167.48,21.26,5.39
104,Richards Bay,83,ZA,1601608252,79,-28.78,32.04,17.25,3.76
105,Barrow,90,US,1601608186,86,71.29,-156.79,1.0,7.7
106,Kavieng,100,PG,1601608217,78,-2.57,150.8,27.85,5.83
107,Capinzal,13,BR,1601608438,58,-27.34,-51.61,22.0,1.8
108,Castro,0,BR,1601608218,49,-24.79,-50.01,21.77,0.67
109,Flin Flon,100,CA,1601608254,79,54.77,-101.86,3.16,1.79
110,Nyurba,19,RU,1601608439,72,63.28,118.33,2.64,3.7
111,Mar del Plata,75,AR,1601608179,66,-38.0,-57.56,9.0,5.7
112,Itarema,20,BR,1601608196,82,-2.92,-39.92,25.94,7.88
113,Constitución,0,CL,1601608226,80,-35.33,-72.42,7.94,3.76
114,Salisbury,100,GB,1601608440,93,51.07,-1.8,10.56,6.2
115,Coyhaique,100,CL,1601608272,74,-45.58,-72.07,1.0,2.1
116,Burdur,1,TR,1601608440,65,37.72,30.29,7.0,1.5
117,Omboué,69,GA,1601608257,84,-1.57,9.26,23.42,2.24
118,High Level,20,CA,1601608441,53,58.52,-117.14,11.0,1.0
119,Hong Kong,37,HK,1601608031,75,22.29,114.16,28.89,1.34
120,Hanna,20,CA,1601608441,56,51.63,-111.9,12.81,3.1
121,Calama,40,CL,1601608441,17,-22.47,-68.93,14.0,1.5
122,Saint George,1,US,1601608361,7,37.1,-113.58,29.0,5.1
123,Carnarvon,53,AU,1601607951,64,-24.87,113.63,22.0,6.2
124,Tuktoyaktuk,90,CA,1601608191,93,69.45,-133.04,5.0,5.7
125,Chicama,30,PE,1601608442,82,-7.84,-79.15,16.89,2.7
126,Nosivka,85,UA,1601608442,66,50.93,31.58,12.25,4.56
127,Leningradskiy,100,RU,1601608183,95,69.38,178.42,2.01,8.95
128,Sinnamary,6,GF,1601608443,82,5.38,-52.95,26.29,2.79
129,Basco,0,PH,1601608443,74,20.45,121.97,27.59,8.18
130,Dombarovskiy,0,RU,1601608443,54,50.76,59.54,7.27,2.95
131,Caravelas,90,BR,1601608186,88,-17.71,-39.25,22.1,2.41
132,Krasnyy Chikoy,100,RU,1601608444,74,50.36,108.75,1.29,3.99
133,Yüksekova,20,TR,1601608445,71,37.57,44.29,10.0,2.1
134,Dzilam González,100,MX,1601608445,93,21.28,-88.93,24.61,3.03
135,Puerto Ayora,65,EC,1601608210,88,-0.74,-90.35,20.0,2.24
136,La Ronge,90,CA,1601608195,65,55.1,-105.28,7.0,1.5
137,Ixtapa,40,MX,1601608446,79,20.7,-105.2,29.0,1.5
138,Isabela,75,PH,1601608281,74,6.71,121.97,30.0,3.1
139,Port Elizabeth,90,ZA,1601608198,58,-33.92,25.57,15.0,9.8
140,Faanui,41,PF,1601608182,78,-16.48,-151.75,25.98,8.52
141,Vila Franca do Campo,75,PT,1601608242,77,37.72,-25.43,20.0,3.6
142,Zaterechnyy,30,RU,1601608447,63,44.79,45.21,15.54,6.74
143,Mayumba,98,GA,1601608224,79,-3.43,10.66,24.12,1.37
144,Avera,1,US,1601608447,93,33.19,-82.53,18.0,2.1
145,Mount Isa,0,AU,1601608103,20,-20.73,139.5,34.0,5.7
146,Nikolskoye,62,RU,1601608205,87,59.7,30.79,7.78,4.0
147,Morropón,33,PE,1601608448,71,-5.18,-79.97,19.0,0.78
148,Atuona,4,PF,1601608192,76,-9.8,-139.03,25.92,9.98
149,Abéché,69,TD,1601608448,65,13.83,20.83,25.91,0.84
150,Bredasdorp,83,ZA,1601608233,58,-34.53,20.04,14.0,9.3
151,Katsuura,20,JP,1601607979,73,35.13,140.3,26.11,3.1
152,Nālūt,9,LY,1601608220,20,30.33,10.85,25.48,4.63
153,Ponta do Sol,75,PT,1601608264,68,32.67,-17.1,21.0,3.1
154,Ukiah,1,US,1601608198,30,39.15,-123.21,27.0,1.54
155,Laguna,1,US,1601608258,50,38.42,-121.42,26.67,1.65
156,Mahmudia,42,RO,1601608450,81,45.08,29.08,12.22,2.6
157,Lapta,0,CY,1601608450,72,35.34,33.18,18.0,1.5
158,Yumen,100,CN,1601608450,32,40.28,97.2,11.69,5.17
159,Saint Paul Harbor,90,US,1601608177,81,57.79,-152.41,11.0,12.3
160,Coquimbo,1,CL,1601608450,87,-29.95,-71.34,11.0,1.0
161,Hasaki,20,JP,1601608203,60,35.73,140.83,26.11,2.1
162,Lüderitz,2,NA,1601608288,75,-26.65,15.16,10.85,2.71
163,Bhaderwah,0,IN,1601608451,24,32.98,75.72,20.51,0.46
164,New Norfolk,28,AU,1601608184,48,-42.78,147.06,20.56,3.58
165,Saint-Philippe,2,RE,1601608235,64,-21.36,55.77,21.11,2.1
166,Tiksi,80,RU,1601608189,94,71.69,128.87,-2.47,7.16
167,Pacific Grove,90,US,1601608273,38,36.62,-121.92,25.0,2.1
168,Kalmunai,100,LK,1601608452,67,7.42,81.82,28.28,1.12
169,Bilibino,80,RU,1601608253,90,68.05,166.44,0.05,0.69
170,Hithadhoo,30,MV,1601608187,67,-0.6,73.08,28.42,0.92
171,Spas-Klepiki,83,RU,1601608453,52,55.13,40.18,6.67,3.13
172,Waddān,0,LY,1601608453,36,29.16,16.14,25.47,4.13
173,Orlik,100,RU,1601608302,80,52.52,99.83,-2.43,2.23
174,Guerrero Negro,0,MX,1601608453,51,27.98,-114.06,26.41,5.06
175,Saskylakh,100,RU,1601608183,90,71.92,114.08,-2.42,9.42
176,Tura,100,IN,1601608454,82,25.52,90.22,27.87,1.04
177,Van,20,TR,1601608454,61,38.49,43.38,10.0,1.0
178,Hamilton,20,US,1601608176,70,39.18,-84.53,11.11,3.6
179,Alofi,75,NU,1601608454,94,-19.06,-169.92,27.0,4.1
180,Berëzovka,100,BY,1601608455,69,53.72,25.5,11.51,5.12
181,Littleton,71,US,1601608455,63,39.61,-105.02,14.44,1.73
182,Codrington,0,AU,1601608196,64,-38.27,141.97,22.68,5.82
183,Kapaa,1,US,1601608195,66,22.08,-159.32,29.0,3.6
184,Sidi Ali,0,DZ,1601608455,52,36.1,0.42,19.77,7.43
185,Rocha,0,UY,1601608186,80,-34.48,-54.33,9.72,3.67
186,Bereda,100,ES,1601608456,100,43.27,-7.54,13.33,6.26
187,Taltal,24,CL,1601608456,72,-25.4,-70.48,14.44,2.9
188,Saldanha,99,ZA,1601608216,81,-33.01,17.94,12.0,2.6
189,Campbell River,75,CA,1601608457,93,50.02,-125.24,15.0,1.0
190,Foz,97,ES,1601608457,1,43.57,-7.25,13.33,8.03
191,Ambon City,20,ID,1601608290,66,-3.7,128.18,31.0,4.1
192,Nishihara,40,JP,1601608251,58,26.18,127.76,30.0,6.7
193,Vila,100,PT,1601608458,95,42.03,-8.16,13.89,5.81
194,Grants,0,US,1601608458,38,35.15,-107.85,15.34,2.78
195,Poum,100,NC,1601608259,67,-20.23,164.02,22.59,4.08
196,Qasigiannguit,100,GL,1601608197,60,68.82,-51.19,5.0,6.2
197,Olivet,75,FR,1601608458,93,47.86,1.9,12.0,8.2
198,Srednekolymsk,98,RU,1601608051,62,67.45,153.68,5.21,6.08
199,Angoram,100,PG,1601608459,90,-4.06,144.07,24.44,1.86
200,Pangnirtung,19,CA,1601608459,85,66.15,-65.71,-4.22,2.84
201,Salamiyah,0,SY,1601608459,90,35.01,37.05,16.53,2.14
202,North Myrtle Beach,1,US,1601608459,64,33.82,-78.68,23.0,4.6
203,Beyneu,0,KZ,1601608304,42,45.32,55.2,10.67,4.79
204,Pisco,4,PE,1601607991,82,-13.7,-76.22,17.22,8.2
205,Meulaboh,98,ID,1601608248,81,4.14,96.13,27.28,3.52
206,Hambantota,61,LK,1601608309,67,6.12,81.12,28.62,8.23
207,Touros,75,BR,1601608239,78,-5.2,-35.46,25.0,2.6
208,Bathsheba,75,BB,1601608461,74,13.22,-59.52,28.0,7.2
209,White Center,75,US,1601608245,72,47.52,-122.35,18.0,2.1
210,Tres Arroyos,16,AR,1601608211,90,-38.37,-60.28,2.6,2.67
211,Tokur,89,RU,1601608462,50,53.13,132.9,11.09,1.66
212,Marystown,100,CA,1601608463,100,47.17,-55.15,15.56,0.45
213,Nome,90,US,1601608195,81,64.5,-165.41,9.44,6.7
214,Hobyo,13,SO,1601608463,87,5.35,48.53,24.95,7.25
215,Marawi,77,PH,1601608463,79,8.0,124.29,28.33,2.24
216,Ballina,40,AU,1601608463,73,-28.87,153.57,26.67,6.2
217,Shingū,40,JP,1601608327,65,33.73,135.98,26.0,2.6
218,Toora-Khem,68,RU,1601608229,85,52.47,96.11,0.17,2.98
219,Kyren,100,RU,1601608464,79,51.68,102.14,1.52,1.07
220,Port Blair,100,IN,1601608244,81,11.67,92.75,28.33,6.88
221,Cidreira,42,BR,1601608213,85,-30.18,-50.21,20.04,3.63
222,São João da Barra,10,BR,1601608283,84,-21.64,-41.05,23.57,8.74
223,Erbil,0,IQ,1601608192,32,36.19,44.01,23.99,1.9
224,Hofn,60,IS,1601608182,57,64.25,-15.21,6.71,1.51
225,La Tuque,53,CA,1601608465,95,47.43,-72.78,5.71,0.93
226,Santiago del Estero,0,AR,1601608465,30,-27.8,-64.26,18.99,4.79
227,Villamontes,100,BO,1601608466,37,-21.25,-63.5,27.17,1.33
228,Geraldton,90,AU,1601608466,56,-28.77,114.6,21.0,4.6
229,Grand-Lahou,100,CI,1601608466,88,5.14,-5.02,24.25,3.78
230,Labuhan,0,ID,1601608467,55,-6.88,112.21,31.27,1.93
231,Fortuna,1,US,1601608250,100,40.6,-124.16,15.0,1.78
232,Port Hawkesbury,1,CA,1601608467,93,45.62,-61.35,12.78,1.5
233,Ekhabi,26,RU,1601608467,68,53.51,142.97,11.37,3.31
234,Biltine,73,TD,1601608468,54,14.53,20.92,28.08,2.14
235,Puerto Peñasco,0,MX,1601608468,84,31.32,-113.53,30.0,2.68
236,Laas,90,IT,1601608198,100,46.62,10.7,13.89,5.1
237,Clyde River,90,CA,1601608200,100,70.47,-68.59,-2.0,9.8
238,Kumul,100,CN,1601608227,32,42.8,93.45,13.06,6.77
239,Machhlīshahr,20,IN,1601608469,83,25.68,82.42,27.0,1.0
240,Shimoda,20,JP,1601608390,64,34.67,138.95,24.0,3.6
241,Atar,0,MR,1601608318,23,20.52,-13.05,31.25,5.2
242,Narsaq,100,GL,1601608229,90,60.92,-46.05,4.0,7.7
243,Faya,20,SA,1601608470,29,18.39,42.45,17.0,1.19
244,Alanya,20,TR,1601608470,93,36.54,32.0,17.0,2.1
245,Matara,94,LK,1601608203,74,5.95,80.54,28.03,5.47
246,Darłowo,71,PL,1601608470,82,54.42,16.41,13.33,6.29
247,Lundazi,12,ZM,1601608470,47,-12.29,33.18,19.46,2.69
248,Lompoc,1,US,1601607929,36,34.64,-120.46,28.0,1.5
249,Korla,0,CN,1601608147,27,41.76,86.15,14.87,3.97
250,Prince George,1,CA,1601608471,87,53.92,-122.75,13.0,2.1
251,Puerto Carreño,98,CO,1601608471,83,6.19,-67.49,25.53,1.44
252,Ulladulla,0,AU,1601608253,21,-35.35,150.47,26.0,5.1
253,Kholtoson,100,RU,1601608472,80,50.3,103.31,-1.17,4.52
254,Provideniya,90,RU,1601608241,86,64.38,-173.3,4.0,8.0
255,Hualmay,29,PE,1601608177,85,-11.1,-77.61,16.29,4.84
256,Seoul,40,KR,1601607753,64,37.57,126.98,23.0,3.1
257,San Miguel de Cozumel,75,MX,1601608473,83,20.51,-86.95,27.0,6.7
258,Tyrma,100,RU,1601608473,68,50.08,132.17,10.82,4.66
259,Esperance,26,AU,1601608216,64,-33.87,121.9,20.0,5.7
260,Cherskiy,2,RU,1601608197,74,68.75,161.3,2.83,1.24
261,Puerto Cabezas,100,NI,1601608473,83,14.04,-83.39,25.42,0.96
262,Oeiras do Pará,45,BR,1601608474,73,-2.0,-49.85,25.75,2.37
263,Marsá Maţrūḩ,0,EG,1601608318,72,31.35,27.25,20.0,1.18
264,Katherine,9,AU,1601608474,18,-14.47,132.27,37.0,8.7
265,Gao,17,ML,1601608474,41,16.64,1.64,31.41,4.93
266,Mbandaka,98,CD,1601608475,95,0.05,18.26,19.79,1.6
267,Seymchan,43,RU,1601608299,56,62.88,152.43,7.75,2.82
268,Batagay-Alyta,6,RU,1601608475,76,67.8,130.41,-1.83,4.7
269,Isangel,90,VU,1601608234,78,-19.55,169.27,25.0,5.1
270,Merauke,1,ID,1601608263,57,-8.47,140.33,28.95,8.72
271,Grindavik,20,IS,1601608189,93,63.84,-22.43,4.0,4.6
272,Rock Sound,54,BS,1601608476,76,24.9,-76.2,28.86,3.9
273,Beroroha,0,MG,1601608476,76,-21.67,45.17,21.11,1.15
274,Mnogovershinnyy,0,RU,1601608476,60,53.94,139.92,10.47,1.36
275,Mountain Home,1,US,1601608476,26,43.13,-115.69,21.0,4.1
276,Husavik,14,IS,1601608477,92,66.04,-17.34,-5.0,1.5
277,Sekoma,18,BW,1601608477,33,-24.4,23.88,13.36,3.08
278,Svetlaya,93,RU,1601608478,73,46.54,138.33,13.89,3.89
279,Wanning,100,CN,1601608478,71,18.8,110.4,30.14,0.35
280,Vardø,75,NO,1601608227,81,70.37,31.11,7.0,2.1
281,Portland,0,US,1601608272,71,45.52,-122.68,20.56,0.9
282,Bambous Virieux,20,MU,1601608221,93,-20.34,57.76,22.78,3.6
283,Artesia,1,US,1601608479,39,33.87,-118.08,30.0,2.1
284,Abu Samrah,0,SY,1601608479,91,35.3,37.18,16.14,1.89
285,Palmas Bellas,90,PA,1601608479,85,9.23,-80.09,22.78,1.95
286,Ban Nahin,52,LA,1601608479,54,18.24,104.21,33.42,0.38
287,Homer,100,US,1601608480,84,59.64,-151.55,10.0,8.05
288,Moa,77,CU,1601608480,83,20.66,-74.94,27.05,4.73
289,Pinan,99,SE,1601608480,90,58.68,11.65,12.78,2.24
290,Balkhash,47,KZ,1601608480,45,46.84,74.98,7.0,8.0
291,Kruisfontein,97,ZA,1601608232,80,-34.0,24.73,13.33,2.24
292,Cassilândia,26,BR,1601608481,21,-19.11,-51.73,29.68,2.39
293,Tuatapere,100,NZ,1601608187,59,-46.13,167.68,14.44,4.02
294,Dickinson,1,US,1601608481,64,29.46,-95.05,24.44,2.19
295,Pucallpa,85,PE,1601608481,75,-8.38,-74.55,22.43,0.78
296,Vestmannaeyjar,0,IS,1601608270,69,63.44,-20.27,6.69,2.14
297,Biak,88,ID,1601608226,65,-0.91,122.88,29.23,4.36
298,Port Hardy,75,CA,1601608255,93,50.7,-127.42,14.0,2.06
299,Sioux Lookout,90,CA,1601608482,64,50.1,-91.92,2.0,1.5
300,Conde,20,BR,1601608482,83,-7.26,-34.91,25.0,3.1
301,Sa Kaeo,16,TH,1601608482,72,13.81,102.07,30.04,0.99
302,Mehamn,95,NO,1601608286,84,71.04,27.85,7.21,3.29
303,Ekibastuz,52,KZ,1601608483,68,51.67,75.37,8.13,0.79
304,Tevaitoa,14,PF,1601608483,76,-16.78,-151.5,26.48,8.75
305,Los Llanos de Aridane,75,ES,1601608221,73,28.66,-17.92,23.0,8.7
306,Fendou,91,CN,1601608484,61,46.65,124.87,14.0,5.79
307,Lashio,95,MM,1601608484,89,22.93,97.75,23.67,0.26
308,Pokrovskoye,96,RU,1601608484,54,47.42,38.9,14.95,6.55
309,Lithakia,75,GR,1601608484,88,37.72,20.83,17.0,1.46
310,Kushmurun,19,KZ,1601608484,63,52.45,64.63,9.15,1.94
311,Isla Aguada,100,MX,1601608485,84,18.78,-91.47,26.44,6.24
312,Oodweyne,0,SO,1601608485,69,9.41,45.06,22.12,2.57
313,Dolores,0,AR,1601608485,85,-36.31,-57.68,6.06,4.3
314,Trairi,35,BR,1601608486,83,-3.28,-39.27,25.74,5.81
315,Puksoozero,86,RU,1601608486,96,62.59,40.61,6.23,1.26
